Id,MSSubClass,MSZoning,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,TotalBsmtSF,HeatingQC,FullBath,HalfBath,BedroomAbvGr,GrLivArea,Fireplaces,GarageType,GarageCars,GarageArea,PoolArea,SalePrice
29,80,RL,6000,Reg,Sawyer,1Fam,2Story,6,6,1908,1909,Gable,HdBoard,0.0,1935.0,TA,1,0,0,1724,0,Attchd,3,608.0,0,269387
30,160,RL,7003,IR1,SawyerW,1Fam,1Story,8,8,1935,1949,Hip,VinylSd,300.0,1111.0,Ex,0,0,4,1794,0,Attchd,3,455.0,0,279388
31,85,RL,5997,Reg,OldTown,1Fam,1Story,6,8,1985,2001,Gable,HdBoard,0.0,485.0,Ex,1,1,0,2059,0,Attchd,1,210.0,0,257566
32,160,RL,20458,IR1,Sawyer,1Fam,2Story,9,6,2005,2010,Gable,VinylSd,0.0,1675.0,TA,1,0,1,2211,1,Attchd,0,0.0,0,324252
33,70,RL,8048,IR1,NAmes,1Fam,1Story,9,7,1989,1994,Hip,VinylSd,100.0,666.0,Ex,1,0,4,1300,1,Detchd,3,598.0,0,261243
34,70,RL,4774,IR1,Sawyer,1Fam,2Story,2,4,1957,1968,Gable,Wd Sdng,0.0,727.0,Gd,2,0,5,1417,2,Attchd,1,236.0,0,196137
35,45,RL,12225,Reg,NridgHt,1Fam,2Story,10,1,1953,1971,Gable,HdBoard,0.0,1350.0,TA,3,0,4,1351,0,Attchd,1,246.0,0,273996
36,40,RL,4400,IR1,Edwards,1Fam,1Story,1,4,1911,1911,Hip,VinylSd,0.0,1547.0,TA,1,1,4,2762,2,Detchd,0,0.0,0,227540
37,75,C (all),8995,Reg,NridgHt,1Fam,1Story,2,8,1980,2007,Hip,VinylSd,300.0,601.0,TA,3,1,2,1743,1,None,3,779.0,0,218268
38,70,RL,3041,IR1,SawyerW,1Fam,1Story,5,8,1977,1997,Gable,HdBoard,0.0,1617.0,Ex,0,0,2,1816,2,Detchd,0,0.0,0,231284
39,45,RH,4170,IR1,NridgHt,1Fam,1Story,4,2,1913,1938,Gable,BrkFace,0.0,1273.0,Ex,0,0,2,1839,1,Detchd,2,416.0,0,228126
40,150,RL,8941,Reg,SawyerW,1Fam,1Story,4,7,1933,1946,Gable,Wd Sdng,0.0,652.0,Ex,1,1,3,1458,1,Attchd,0,0.0,0,189226
41,45,RL,11722,IR3,NAmes,1Fam,1Story,9,1,1952,1955,Hip,MetalSd,0.0,813.0,Ex,0,1,1,2890,0,Detchd,0,0.0,0,317183
42,20,RL,8828,IR1,OldTown,TwnhsE,SFoyer,8,2,1919,1923,Flat,BrkFace,0.0,1646.0,Ex,3,2,4,2045,0,None,1,242.0,0,292668
43,190,RM,7647,IR1,NridgHt,1Fam,1Story,6,8,1974,1974,Gable,HdBoard,0.0,480.0,Ex,2,0,4,1829,0,Attchd,0,0.0,0,235993
44,90,RL,6970,Reg,Somerst,1Fam,1Story,1,4,1915,1915,Gable,Wd Sdng,0.0,1559.0,Gd,1,0,2,1297,2,Attchd,2,535.0,0,185339
45,70,RL,3868,IR3,NWAmes,1Fam,2Story,2,3,1994,2010,Gable,VinylSd,100.0,1259.0,Ex,0,0,4,1275,2,BuiltIn,1,198.0,0,221241
46,20,RL,5653,IR1,NridgHt,1Fam,1Story,6,2,1969,1974,Gable,VinylSd,0.0,0.0,Ex,3,2,5,1648,1,None,2,431.0,0,245889
47,85,RL,6436,Reg,OldTown,1Fam,1Story,2,6,1955,1959,Gable,MetalSd,0.0,946.0,Ex,3,1,4,1465,1,Attchd,0,0.0,0,179134
48,85,RL,13746,IR1,NAmes,1Fam,1Story,10,4,1982,1983,Gable,VinylSd,100.0,1974.0,Ex,0,1,0,1312,2,Attchd,2,525.0,0,325436
49,45,RL,9622,Reg,Somerst,Duplex,1Story,5,3,2000,2010,Gable,VinylSd,400.0,2094.0,Gd,3,0,5,1617,1,Detchd,2,515.0,0,273039
50,90,RL,3355,Reg,SawyerW,1Fam,2Story,5,3,1957,1977,Gable,Wd Sdng,200.0,701.0,Gd,3,1,5,1694,1,Attchd,0,0.0,0,203087
51,160,RL,9528,Reg,Somerst,1Fam,2Story,6,3,1903,1929,Hip,VinylSd,0.0,1146.0,TA,1,1,4,1886,0,Attchd,0,0.0,0,234242
52,40,RL,6683,Reg,NridgHt,1Fam,2Story,6,8,1903,1929,Gable,BrkFace,100.0,1900.0,TA,3,0,3,1554,0,Detchd,1,180.0,0,227082
53,90,RL,5776,IR1,NAmes,1Fam,1Story,6,9,1919,1923,Gable,VinylSd,400.0,655.0,Gd,0,0,2,1336,0,Attchd,1,230.0,0,178543
54,40,RL,11002,Reg,SawyerW,1Fam,1Story,2,9,1909,1934,Gable,MetalSd,0.0,989.0,Gd,1,0,1,1350,0,Attchd,3,701.0,0,158682
55,120,RL,13568,Reg,CollgCr,1Fam,2Story,10,5,1923,1931,Gable,HdBoard,0.0,1341.0,Ex,0,0,1,2601,1,None,1,176.0,0,325467
56,20,RL,12908,Reg,Gilbert,Twnhs,1Story,3,1,1998,2010,Gable,MetalSd,0.0,401.0,Ex,2,0,0,1241,0,Detchd,0,0.0,0,186983
57,45,RM,5326,Reg,Sawyer,1Fam,2Story,6,5,1925,1945,Gable,MetalSd,300.0,,TA,0,0,1,2016,1,BuiltIn,2,490.0,0,278947
58,160,RL,6942,Reg,Edwards,1Fam,2Story,8,1,1936,1950,Gable,MetalSd,0.0,580.0,Ex,0,0,1,2112,0,Detchd,2,347.0,0,268854
59,20,RL,9562,Reg,OldTown,1Fam,1Story,1,9,2001,2010,Gable,BrkFace,0.0,0.0,Ex,1,0,2,1743,0,Detchd,1,264.0,0,171934
60,160,RL,13197,Reg,OldTown,1Fam,1Story,1,8,1984,1995,Gable,BrkFace,0.0,1419.0,Ex,3,0,2,3072,1,Detchd,1,204.0,0,282745
61,150,RM,6376,IR1,OldTown,1Fam,2Story,2,7,1953,1957,Gable,Wd Sdng,200.0,345.0,Ex,0,1,3,2101,1,Attchd,0,0.0,0,176051
62,150,RL,7384,IR1,CollgCr,1Fam,2Story,6,2,2003,2004,Gable,HdBoard,0.0,1229.0,TA,1,0,0,3142,0,Detchd,2,397.0,0,321801
63,75,RH,4660,Reg,NAmes,1Fam,1.5Fin,9,2,2002,2010,Gable,VinylSd,200.0,2029.0,Ex,2,1,1,1487,1,Attchd,3,536.0,0,333323
64,180,RL,4455,Reg,Somerst,1Fam,2Story,4,4,1920,1923,Gable,BrkFace,200.0,0.0,Ex,1,0,3,1494,0,Detchd,3,605.0,0,157124
65,180,RL,12164,Reg,SawyerW,1Fam,1Story,3,9,1973,1999,Gable,BrkFace,0.0,1130.0,Ex,1,1,0,2118,2,Attchd,1,216.0,0,244018
66,20,RL,15964,Reg,Somerst,1Fam,1Story,8,9,1937,1963,Gable,Wd Sdng,0.0,1531.0,Gd,3,0,5,1671,1,Attchd,3,613.0,0,275974
67,120,RL,7816,IR2,Somerst,TwnhsE,1Story,10,8,1945,1962,Gable,HdBoard,0.0,474.0,Gd,0,1,1,2997,0,Attchd,0,0.0,0,330499
68,160,RL,13383,Reg,Edwards,1Fam,1Story,9,5,1903,1923,Gable,Wd Sdng,400.0,1215.0,Ex,2,0,1,2003,1,Detchd,3,700.0,0,298644
69,60,RL,9709,Reg,OldTown,2fmCon,1.5Fin,5,7,1959,1968,Hip,VinylSd,100.0,1352.0,TA,1,1,2,1321,1,None,1,213.0,0,225684
70,70,RL,5869,Reg,OldTown,1Fam,2Story,9,9,1956,1968,Gable,BrkFace,400.0,1159.0,Ex,0,0,4,1073,1,None,0,0.0,0,203122
71,180,RL,9707,IR2,CollgCr,1Fam,1Story,2,3,1944,1955,Gable,Wd Sdng,0.0,929.0,Gd,0,1,0,1766,1,Attchd,2,303.0,0,211485
72,85,RL,17483,Reg,Somerst,1Fam,2Story,3,4,1919,1920,Gable,Wd Sdng,0.0,601.0,Gd,1,0,1,1760,0,Attchd,0,0.0,0,181555
73,160,RL,7959,Reg,Edwards,1Fam,1Story,7,2,1916,1941,Gable,HdBoard,0.0,1566.0,Fa,0,0,0,1986,1,Attchd,1,216.0,0,285993
74,120,RL,17717,Reg,Gilbert,1Fam,1.5Fin,7,9,1970,1984,Gable,BrkFace,0.0,910.0,Ex,1,0,3,2599,1,Attchd,1,284.0,0,320500
75,30,RL,2186,Reg,CollgCr,1Fam,1Story,6,7,1903,1916,Gable,HdBoard,300.0,625.0,Ex,1,1,3,2499,1,Detchd,3,547.0,0,277556
76,45,RL,12221,IR1,CollgCr,1Fam,1Story,6,6,1992,2010,Hip,VinylSd,0.0,790.0,Ex,1,2,4,1519,0,BuiltIn,3,443.0,0,227994
77,90,RL,8463,Reg,Sawyer,1Fam,1.5Fin,2,5,1913,1922,Gable,MetalSd,0.0,1040.0,Ex,2,1,1,1226,1,Attchd,2,489.0,0,172466
78,160,RL,6977,IR1,Gilbert,1Fam,2Story,10,7,1902,1923,Gable,BrkFace,0.0,480.0,Ex,1,0,2,1248,1,Attchd,2,467.0,0,249263
79,40,RL,8483,Reg,OldTown,1Fam,1Story,6,3,1987,1994,Gable,Wd Sdng,0.0,904.0,Ex,3,0,1,1449,1,Attchd,1,179.0,0,245703
80,150,RL,2999,Reg,Somerst,Twnhs,2.5Unf,4,5,2000,2010,Gable,BrkFace,0.0,759.0,Ex,0,1,0,1619,0,Attchd,1,158.0,0,218664
81,150,RL,7260,Reg,OldTown,1Fam,1Story,3,2,1979,1993,Gable,BrkFace,0.0,1532.0,TA,2,0,5,1981,0,Detchd,1,281.0,0,236608
82,80,RL,9687,IR1,CollgCr,TwnhsE,2Story,2,5,1957,1969,Gable,HdBoard,200.0,424.0,Ex,0,1,3,1421,0,Detchd,2,553.0,0,175471
83,160,FV,16965,Reg,OldTown,1Fam,2Story,1,7,1954,1961,Hip,VinylSd,0.0,1307.0,Fa,2,1,0,1966,0,Detchd,1,120.0,0,198630
84,70,RL,6253,Reg,NAmes,Twnhs,2Story,5,7,1903,1923,Hip,VinylSd,100.0,0.0,TA,3,1,4,2015,1,Attchd,2,403.0,0,229169
85,30,RL,5408,Reg,NridgHt,1Fam,2Story,2,9,1923,1943,Gable,Wd Sdng,0.0,430.0,TA,2,0,3,1887,1,Attchd,1,286.0,0,207913
86,90,RM,6305,IR1,Gilbert,1Fam,1Story,2,3,1933,1954,Gable,MetalSd,100.0,451.0,TA,2,0,2,1288,1,Attchd,0,0.0,0,149971
87,120,RL,12806,IR1,Somerst,1Fam,2Story,7,8,1929,1942,Gable,HdBoard,0.0,1834.0,TA,2,0,3,2080,1,Attchd,0,0.0,0,285845
88,60,C (all),9550,IR1,Gilbert,1Fam,2Story,8,5,1981,1981,Gable,HdBoard,400.0,625.0,TA,0,1,5,3375,0,Detchd,1,208.0,0,343525
89,80,RL,6217,Reg,Sawyer,1Fam,1Story,10,7,1918,1930,Gable,VinylSd,100.0,3096.0,Ex,1,0,1,1946,0,Detchd,0,0.0,0,321680
90,120,RL,10473,Reg,OldTown,1Fam,1Story,8,1,1930,1956,Gable,HdBoard,0.0,436.0,Gd,0,0,5,745,1,Detchd,2,303.0,0,183107
91,40,RL,8506,Reg,OldTown,1Fam,1Story,4,1,1959,1966,Mansard,MetalSd,0.0,961.0,TA,1,0,5,2623,1,Attchd,3,786.0,0,242433
92,160,FV,13151,Reg,Somerst,1Fam,1Story,1,4,1959,1976,Gable,VinylSd,0.0,889.0,Ex,0,0,1,1464,1,Detchd,0,0.0,0,144856
93,180,RL,5704,IR1,Somerst,1Fam,2Story,7,5,1918,1939,Gable,MetalSd,200.0,826.0,Ex,3,1,3,3567,1,Attchd,3,689.0,0,356204
94,90,RL,6878,IR1,NAmes,1Fam,2Story,1,3,1948,1977,Gable,BrkFace,0.0,1080.0,TA,3,1,4,1872,1,Attchd,0,0.0,0,176766
95,60,RL,6660,IR1,Edwards,1Fam,2Story,4,6,1962,1991,Gable,MetalSd,0.0,0.0,Gd,2,0,1,1090,0,Attchd,2,323.0,0,163319
96,160,RL,3898,Reg,NWAmes,1Fam,1Story,8,3,2009,2010,Gable,VinylSd,0.0,839.0,TA,3,0,1,973,1,Attchd,0,0.0,0,216129
97,40,RL,9396,IR1,Sawyer,1Fam,2Story,2,5,1982,1994,Hip,MetalSd,300.0,598.0,Ex,2,1,2,2869,3,Detchd,0,0.0,0,250944
98,40,RL,9232,IR1,OldTown,2fmCon,1Story,6,1,1921,1923,Gable,VinylSd,300.0,1365.0,Gd,1,0,3,2519,1,Detchd,1,241.0,0,253904
99,45,RL,8123,Reg,Somerst,1Fam,2Story,6,3,1923,1940,Hip,Wd Sdng,0.0,1154.0,Ex,3,1,1,3525,0,Attchd,3,585.0,0,349096
100,80,RL,7206,Reg,Somerst,1Fam,2.5Unf,9,7,2008,2010,Hip,VinylSd,0.0,939.0,TA,1,1,4,1813,1,Attchd,3,804.0,0,307432
101,90,FV,3993,Reg,NridgHt,1Fam,1Story,5,3,1975,1979,Gable,BrkFace,200.0,1139.0,Ex,0,0,0,1777,0,Attchd,2,536.0,0,236409
102,150,RL,6566,Reg,Sawyer,1Fam,1Story,10,5,1929,1955,Gable,VinylSd,100.0,1221.0,TA,1,0,3,1611,0,Attchd,2,461.0,0,291741
103,75,RM,6827,IR1,NWAmes,1Fam,1Story,4,7,1957,1981,Gable,Wd Sdng,0.0,662.0,Ex,0,1,2,1484,1,Attchd,3,551.0,0,197069
104,20,RL,5425,Reg,NridgHt,1Fam,1Story,5,2,2001,2006,Hip,VinylSd,0.0,1123.0,Ex,1,0,5,1607,0,Detchd,1,203.0,0,237585
105,150,RL,7475,Reg,CollgCr,1Fam,1Story,10,3,1930,1959,Gable,BrkFace,200.0,719.0,Ex,1,0,1,1929,2,Attchd,1,231.0,0,277210
106,120,RL,9917,Reg,Sawyer,1Fam,2.5Unf,5,4,1999,2006,Gable,MetalSd,0.0,1237.0,Ex,3,0,4,1403,0,Detchd,3,637.0,0,239953
107,90,RL,20808,Reg,Sawyer,1Fam,1Story,8,5,1963,1986,Gable,BrkFace,0.0,831.0,Gd,1,0,3,1095,1,Attchd,0,0.0,0,211755
108,20,RL,8842,Reg,CollgCr,1Fam,1.5Fin,10,9,1918,1924,Gable,HdBoard,200.0,1146.0,Ex,3,1,4,1896,1,Attchd,3,476.0,0,298375
109,70,RL,9216,IR3,Gilbert,1Fam,1Story,8,9,1947,1967,Gable,HdBoard,0.0,754.0,Ex,3,1,4,1394,0,Attchd,0,0.0,0,245295
110,40,RL,7807,Reg,SawyerW,Duplex,1.5Fin,2,4,1944,1961,Gable,BrkFace,300.0,1170.0,Ex,2,1,5,684,1,Detchd,3,681.0,0,131720
111,160,RL,3104,IR1,NAmes,1Fam,2Story,7,9,1999,2010,Gable,VinylSd,0.0,606.0,TA,2,0,2,2134,2,Attchd,0,0.0,0,300556
112,90,RL,7996,IR1,NridgHt,Duplex,2Story,8,4,1993,2007,Gable,HdBoard,400.0,910.0,Ex,0,0,3,1296,1,Attchd,1,194.0,0,236908
113,70,RL,8350,Reg,SawyerW,1Fam,1Story,6,2,1954,1963,Gable,VinylSd,0.0,1329.0,Ex,1,1,1,2205,1,BuiltIn,3,447.0,0,298616
114,80,RL,27767,IR2,CollgCr,1Fam,2Story,5,1,1954,1979,Gable,HdBoard,100.0,1082.0,Gd,0,0,2,2189,3,Attchd,2,441.0,0,298294
115,40,RL,7360,Reg,Somerst,1Fam,2Story,9,7,1996,2010,Gable,BrkFace,0.0,969.0,TA,1,1,1,1968,0,CarPort,0,0.0,0,292721
116,40,RL,9421,Reg,NridgHt,1Fam,1Story,3,4,1917,1928,Gable,BrkFace,0.0,1847.0,TA,2,0,0,3823,0,Attchd,1,246.0,0,306103
117,30,RL,7963,IR1,SawyerW,1Fam,1Story,10,8,1962,1968,Gable,VinylSd,0.0,1352.0,TA,2,1,4,1734,0,Detchd,2,445.0,0,306656
118,85,RL,4517,Reg,NWAmes,1Fam,1.5Fin,4,8,1991,2010,Gable,MetalSd,100.0,1264.0,Ex,1,0,0,1659,1,Attchd,1,214.0,0,270098
119,20,RL,14348,Reg,NAmes,1Fam,1Story,9,8,1946,1973,Gable,MetalSd,0.0,1168.0,TA,1,0,4,2219,1,Attchd,0,0.0,0,298213
120,80,RM,11801,IR1,NWAmes,1Fam,1.5Fin,6,6,1974,1980,Gable,VinylSd,0.0,1227.0,TA,2,0,5,1778,1,Attchd,3,502.0,0,266232
121,60,RL,12034,Reg,Somerst,1Fam,1Story,8,9,1956,1966,Gable,VinylSd,0.0,1742.0,TA,2,0,2,2560,2,Attchd,1,241.0,0,336834
122,60,RL,5142,Reg,Gilbert,1Fam,2Story,7,4,1944,1956,Hip,MetalSd,0.0,759.0,Ex,0,0,1,1235,1,Detchd,3,459.0,0,235193
123,75,RH,16340,IR1,Sawyer,1Fam,2Story,2,5,1932,1946,Gable,BrkFace,100.0,1344.0,TA,2,1,5,1241,0,BuiltIn,3,559.0,0,173507
124,90,RL,4020,IR1,CollgCr,1Fam,1Story,3,4,1916,1933,Gable,Wd Sdng,400.0,1035.0,Ex,1,1,1,2275,0,Attchd,1,171.0,0,219908
125,50,RL,10866,Reg,NridgHt,1Fam,1Story,1,5,1969,1975,Hip,Wd Sdng,0.0,770.0,Gd,0,1,2,1274,2,Attchd,1,251.0,0,160675
126,80,RL,24227,Reg,Edwards,Twnhs,2Story,9,2,1903,1908,Gable,MetalSd,0.0,862.0,Ex,1,2,3,2170,0,Attchd,1,217.0,0,259936
127,180,RL,4938,Reg,NWAmes,1Fam,1Story,7,5,1919,1941,Gable,HdBoard,400.0,980.0,Ex,3,0,0,2020,1,Detchd,3,658.0,0,311451
128,90,RL,6104,Reg,Gilbert,TwnhsE,1Story,1,8,1946,1956,Gable,BrkFace,100.0,636.0,Gd,0,0,0,1467,0,Attchd,2,351.0,0,151975
129,50,RL,8517,Reg,NridgHt,1Fam,1Story,3,9,1990,1997,Hip,Wd Sdng,100.0,1268.0,Ex,1,0,1,2018,0,Attchd,0,0.0,0,270665
130,30,C (all),6299,IR1,Gilbert,1Fam,1.5Fin,4,7,1914,1933,Gable,VinylSd,0.0,861.0,TA,2,1,1,1248,1,Detchd,2,378.0,0,188858
131,60,RL,3731,Reg,Sawyer,1Fam,1Story,4,7,1969,1969,Gable,MetalSd,0.0,928.0,Gd,3,0,1,1339,0,Attchd,3,706.0,0,219784
132,180,RL,8385,Reg,Gilbert,1Fam,1Story,5,6,1946,1953,Gable,BrkFace,0.0,1545.0,Gd,1,1,2,1683,2,Attchd,1,180.0,0,240550
133,80,RL,4764,IR1,NridgHt,1Fam,SFoyer,3,2,1977,1984,Hip,MetalSd,0.0,945.0,Ex,0,0,3,1851,0,Attchd,1,273.0,0,203555
134,40,RL,10268,Reg,Sawyer,1Fam,2Story,3,9,1974,1992,Gable,Wd Sdng,200.0,1670.0,Fa,1,1,0,1650,1,Detchd,0,0.0,0,211399
135,85,RL,5116,Reg,NAmes,1Fam,1Story,1,5,2002,2004,Gable,VinylSd,0.0,727.0,Gd,3,1,5,2058,1,Attchd,0,0.0,0,186480
136,190,FV,17587,Reg,SawyerW,1Fam,1.5Fin,7,6,1908,1912,Gable,VinylSd,0.0,578.0,Ex,0,0,4,2031,1,BuiltIn,2,574.0,0,246644
137,45,RL,5477,IR1,Edwards,Twnhs,1Story,10,1,1989,2010,Gable,BrkFace,300.0,799.0,TA,3,0,2,2860,2,Attchd,2,405.0,0,399944
138,85,RL,6897,IR1,Gilbert,Duplex,1Story,1,5,1915,1917,Gable,VinylSd,0.0,291.0,Ex,1,1,0,1757,0,Attchd,0,0.0,0,149406
139,90,RL,12170,IR1,NAmes,1Fam,1Story,2,6,1968,1982,Hip,VinylSd,400.0,1289.0,Ex,2,0,3,2587,0,Detchd,3,686.0,0,285822
140,75,FV,4378,Reg,Edwards,1Fam,1Story,4,2,1960,1973,Gable,MetalSd,0.0,592.0,Gd,2,0,2,2383,0,Attchd,2,401.0,0,261778
141,60,RL,9079,IR1,Gilbert,1Fam,2Story,4,7,1909,1929,Gable,BrkFace,0.0,701.0,Gd,1,1,5,3598,1,Attchd,1,186.0,0,289534
142,150,RL,15577,Reg,NridgHt,1Fam,SFoyer,5,4,1949,1963,Gable,VinylSd,0.0,1195.0,Ex,1,0,0,1740,2,Attchd,1,176.0,0,217219
143,70,RL,3627,Reg,Gilbert,1Fam,1.5Fin,2,5,1902,1925,Gable,BrkFace,0.0,0.0,Ex,1,1,2,1593,0,Attchd,3,992.0,0,161992
144,70,C (all),8886,Reg,Edwards,1Fam,1.5Fin,4,3,1976,1992,Gable,VinylSd,0.0,752.0,Fa,0,1,0,2636,1,Detchd,0,0.0,0,260957
145,45,RL,9227,Reg,NridgHt,1Fam,1Story,1,5,2006,2010,Flat,BrkFace,0.0,397.0,Ex,3,0,0,2029,0,Attchd,2,285.0,0,210885
146,180,RM,11979,Reg,SawyerW,1Fam,2Story,2,4,1993,1994,Gable,BrkFace,0.0,1510.0,Ex,3,0,3,2655,0,Detchd,1,279.0,0,263015
147,120,FV,4365,Reg,CollgCr,1Fam,2Story,1,6,2008,2010,Gable,VinylSd,100.0,1198.0,Po,3,0,4,2241,1,Detchd,0,0.0,0,267100
148,190,RL,4187,Reg,Gilbert,1Fam,1.5Fin,10,2,1969,1984,Gable,VinylSd,0.0,2043.0,Ex,1,1,3,960,0,Detchd,2,378.0,0,270204
149,60,RL,10519,Reg,Somerst,1Fam,1Story,10,3,1980,1983,Gable,VinylSd,0.0,707.0,Gd,3,0,0,2024,0,Detchd,3,548.0,0,320780
150,120,RL,9400,IR1,CollgCr,Duplex,2Story,4,1,2008,2010,Gable,HdBoard,0.0,501.0,Ex,1,1,2,1984,1,Detchd,1,246.0,0,227906
151,80,RL,9184,IR1,NWAmes,1Fam,1Story,4,7,1950,1951,Gable,VinylSd,0.0,1336.0,Gd,0,0,5,1881,1,Attchd,3,630.0,0,256149
152,40,RL,9635,Reg,NridgHt,1Fam,1Story,7,9,1918,1945,Gable,VinylSd,0.0,832.0,Ex,2,0,3,1737,0,Attchd,3,428.0,0,237971
153,75,RM,5767,Reg,OldTown,1Fam,1Story,10,2,1941,1954,Gable,VinylSd,0.0,1154.0,Fa,1,0,4,1121,1,Attchd,3,874.0,0,279035
154,70,RL,9100,Reg,NridgHt,1Fam,1Story,9,7,1934,1944,Gable,MetalSd,0.0,1716.0,Ex,1,0,0,2350,1,Detchd,2,405.0,0,322268
